communes (name);communes (code);Regions;Latitude;Longitude
Millau;12145;O;44.1185;3.0195
Carpiquet;14137;N;49.18;-0.456167
Guipavas;29075;B;48.444167;-4.412
Embrun;5046;PACA;44.565667;6.502333
Fretin;59256;HF;50.57;3.0975
Athis-Mons;91027;IDF;48.716833;2.384333
La Hague;50041;N;49.725167;-1.939833
Barberey-Saint-Sulpice;10030;GE;48.324667;4.02
Mont-de-Marsan;40192;NlleA;43.909833;-0.500167
Marignane;13054;PACA;43.437667;5.216
Ouges;21473;BFC;47.267833;5.088333
Limoges;87085;NlleA;45.861167;1.175
Perros-Guirec;22168;B;48.825833;-3.473167
Nice;6088;PACA;43.648833;7.209
Thuilley-aux-Groseilles;54523;GE;48.581;5.959833
Saint-Aignan-Grandlieu;44150;PDL;47.15;-1.608833
Poitiers;86194;NlleA;46.593833;0.314333
Bangor;56009;B;47.294333;-3.218333
Louey;65284;O;43.188;0
Perpignan;66136;O;42.737167;2.872833
Saint-Denis-d'Oléron;17323;NlleA;46.046833;-1.4115
Blagnac;31069;O;43.621;1.378833
Colombier-Saugnieu;69299;AURA;45.7265;5.077833
Lorp-Sentaraille;9289;O;43.005333;1.106833
Mérignac;33281;NlleA;44.830667;-0.691333
Montélimar;26198;AURA;44.581167;4.733
Parçay-Meslay;37179;CVDL;47.4445;0.727333
Saint-Jacques-de-la-Lande;35281;B;48.068833;-1.734
Holtzheim;67212;GE;48.5495;7.640333
Bourges;18033;CVDL;47.059167;2.359833
Abbeville;80001;HF;50.136;1.834
Clermont-Ferrand;63113;AURA;45.786833;3.149333
Chaspuzac;43062;AURA;45.0745;3.764
Blotzheim;68042;GE;47.614333;7.51
Mauguio;34154;O;43.577;3.963167
Saint-Mandrier-sur-Mer;83153;PACA;43.079333;5.940833
Cerisé;61077;N;48.4455;0.110167
Gourdon;46127;O;44.745;1.396667
Boos;76116;N;49.383;1.181667
Prunay;51449;GE;49.209667;4.155333
Gourdon;46127;O;44.745;1.396667
